,Address,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
156,"Brookville, New York City US",Deli / Bodega,Zoo Exhibit,Farmers Market,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Farm
157,"Broomfield, Christchurch New Zealand",Bakery,Stadium,Flea Market,Motel,Fast Food Restaurant,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Zoo Exhibit
158,"Brownsville, New York City US",Restaurant,Park,Moving Target,Discount Store,Performing Arts Venue,Spanish Restaurant,Pizza Place,Home Service,Playground,Pool
159,"Bryndwr, Christchurch New Zealand",Bakery,Café,Chinese Restaurant,Pizza Place,Vietnamese Restaurant,Bar,Indian Restaurant,Thai Restaurant,Supermarket,Italian Restaurant
160,"Bukit Bintang, Kuala Lumpur Malaysia",Café,Spa,Japanese Restaurant,Asian Restaurant,Chinese Restaurant,Hotel,Coffee Shop,Convenience Store,Gym / Fitness Center,BBQ Joint
161,"Bulimba, Brisbane",Café,Pizza Place,Italian Restaurant,Bookstore,Sushi Restaurant,Coffee Shop,Thai Restaurant,Movie Theater,BBQ Joint,Sandwich Place
162,"Bulls Head, New York City US",Pizza Place,Bus Stop,Chinese Restaurant,Deli / Bodega,Pharmacy,Ice Cream Shop,Sandwich Place,Hookah Bar,Scenic Lookout,Donut Shop
163,"Bulwer, Brisbane",Home Service,Zoo Exhibit,Farm,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Farmers Market,Falafel Restaurant
164,"Bunker Hill, Los Angeles US",Café,Sandwich Place,Coffee Shop,Restaurant,Gift Shop,Theater,American Restaurant,French Restaurant,Vegetarian / Vegan Restaurant,Seafood Restaurant
165,"Bunkyō, Tokyo Japan",Café,Ramen Restaurant,BBQ Joint,Italian Restaurant,Japanese Restaurant,Chinese Restaurant,Garden,Dessert Shop,Bakery,Park
166,"Burnside, Christchurch New Zealand",Pizza Place,Thai Restaurant,Fish & Chips Shop,Café,Concert Hall,Vegetarian / Vegan Restaurant,Pool,Asian Restaurant,Bar,Supermarket
167,"Burwood, Christchurch New Zealand",Bus Station,Lake,Accessories Store,Park,Cosmetics Shop,Farmers Market,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant
168,"Bushwick, New York City US",Bar,Deli / Bodega,Mexican Restaurant,Coffee Shop,Pizza Place,Bakery,Thrift / Vintage Store,Discount Store,Vegetarian / Vegan Restaurant,Café
169,"Butler Manor, New York City US",Baseball Field,Pool,Convenience Store,Bus Stop,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Farmers Market
170,"Cahuenga Pass, Los Angeles US",Lounge,Mexican Restaurant,American Restaurant,Pizza Place,Café,Vegetarian / Vegan Restaurant,Coffee Shop,Movie Theater,Burger Joint,Asian Restaurant
171,"Calamvale, Brisbane",Ice Cream Shop,Business Service,Baby Store,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Farmers Market
172,"Cambria Heights, New York City US",Caribbean Restaurant,Cosmetics Shop,Jewelry Store,Liquor Store,Pharmacy,Flower Shop,Nightclub,Moving Target,Restaurant,Intersection
173,"Camp Hill, Brisbane",Men's Store,Bus Station,Bistro,Antique Shop,Café,Sporting Goods Shop,Falafel Restaurant,Factory,Farm,Farmers Market
174,"Camperdown, Sydney",Café,Thai Restaurant,Pub,Bar,Pizza Place,Gastropub,Motorcycle Shop,Liquor Store,Convenience Store,Australian Restaurant
175,"Canarsie, New York City US",Business Service,Chinese Restaurant,Gym,Asian Restaurant,Caribbean Restaurant,Zoo Exhibit,Financial or Legal Service,Film Studio,Filipino Restaurant,Field
176,"Cannon Hill, Brisbane",Café,Pizza Place,Sushi Restaurant,Train Station,Mobile Phone Shop,Grocery Store,Seafood Restaurant,Chinese Restaurant,Thai Restaurant,Fish & Chips Shop
177,"Canoga Park, Los Angeles US",Asian Restaurant,Rental Car Location,Thrift / Vintage Store,Coffee Shop,Pharmacy,Café,Mexican Restaurant,Art Gallery,Fast Food Restaurant,Home Service
178,"Carina Heights, Brisbane",Jewelry Store,Thai Restaurant,Department Store,Coffee Shop,Zoo Exhibit,Farmers Market,Financial or Legal Service,Film Studio,Filipino Restaurant,Field
179,"Carina, Brisbane",Fast Food Restaurant,Gym / Fitness Center,Asian Restaurant,Thai Restaurant,Field,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant,Zoo Exhibit
180,"Carindale, Brisbane",Café,Department Store,Coffee Shop,Fast Food Restaurant,Gym,Electronics Store,Shopping Mall,Sushi Restaurant,Mexican Restaurant,Supermarket
181,"Carlton North, Melbourne",Café,Italian Restaurant,Bar,Vegetarian / Vegan Restaurant,Deli / Bodega,Pub,Bakery,Wine Bar,Coffee Shop,Gourmet Shop
182,"Carlton, Melbourne",Café,Coffee Shop,Italian Restaurant,Bar,Deli / Bodega,Vegetarian / Vegan Restaurant,Ice Cream Shop,Wine Bar,Whisky Bar,Thai Restaurant
183,"Carmichael Road, Mumbai City India",Bar,Chinese Restaurant,Shopping Mall,Electronics Store,Fast Food Restaurant,Bakery,Indian Restaurant,Sandwich Place,Food Truck,Vegetarian / Vegan Restaurant
184,"Carnegie Hill, New York City US",Coffee Shop,Café,Japanese Restaurant,Bookstore,Wine Shop,Gym / Fitness Center,Pizza Place,Gym,Yoga Studio,Grocery Store
185,"Carroll Gardens, New York City US",Italian Restaurant,Coffee Shop,Pizza Place,Cocktail Bar,Bakery,Spa,Bar,Wine Shop,Food & Drink Shop,Bank
186,"Carseldine, Brisbane",Market,Filipino Restaurant,Thai Restaurant,Plaza,Bus Station,Farmers Market,Financial or Legal Service,Film Studio,Field,Fast Food Restaurant
187,"Carthay, Los Angeles US",Hotel,Sandwich Place,Fast Food Restaurant,Ethiopian Restaurant,Bank,Sushi Restaurant,Furniture / Home Store,New American Restaurant,Food Truck,Mobile Phone Shop
188,"Casebrook, Christchurch New Zealand",Stadium,Café,Gas Station,Park,Fast Food Restaurant,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant,Field
189,"Cashmere, Christchurch New Zealand",Coffee Shop,Bar,Burger Joint,Café,Farmers Market,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant
190,"Castle Hill, New York City US",Bank,Pizza Place,Pharmacy,Baseball Field,Deli / Bodega,Bus Station,Diner,Market,Film Studio,Filipino Restaurant
191,"Castleton Corners, New York City US",Pizza Place,Bank,Sandwich Place,Tattoo Parlor,Grocery Store,Mini Golf,Bar,Bagel Shop,Ice Cream Shop,Burger Joint
192,"Cavel, Mumbai City India",Indian Restaurant,Café,Bar,Snack Place,Bakery,Train Station,Chinese Restaurant,Cheese Shop,Coffee Shop,Fast Food Restaurant
193,"Centennial Park, Sydney",Café,Movie Theater,Park,Performing Arts Venue,Lake,Food Truck,Music Venue,Tourist Information Center,Grocery Store,Theater
194,"Central Harlem, New York City US",Chinese Restaurant,African Restaurant,Bar,French Restaurant,Fried Chicken Joint,Seafood Restaurant,American Restaurant,Cosmetics Shop,Gym,Market
195,"Central-Alameda, Los Angeles US",Mexican Restaurant,Park,Food,Shop & Service,Zoo Exhibit,Farmers Market,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant
196,"Century City, Los Angeles US",Coffee Shop,Mexican Restaurant,Department Store,Salad Place,Cosmetics Shop,Italian Restaurant,Gym / Fitness Center,Movie Theater,Women's Store,Hotel
197,"Chabahil, Kathmandu Nepal",Asian Restaurant,Hotel,Restaurant,Café,Coffee Shop,Italian Restaurant,Indian Restaurant,Hostel,Breakfast Spot,Bakery
198,"Chanakyapuri, New Delhi India",Performing Arts Venue,Health & Beauty Service,Trail,Business Service,Farm,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Farmers Market
199,"Chandler, Brisbane",Bus Station,Zoo Exhibit,Fishing Spot,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Farmers Market
200,"Chandni Chowk, New Delhi India",Indian Restaurant,Snack Place,Market,Flea Market,Hotel,Fast Food Restaurant,Dessert Shop,Paper / Office Supplies Store,Factory,Falafel Restaurant
201,"Changning District, Shanghai China",Bakery,Hotel,Japanese Restaurant,Cocktail Bar,Dumpling Restaurant,Bistro,Italian Restaurant,French Restaurant,Park,Yoga Studio
202,"Chaoyangmen, Beijing China",Coffee Shop,Hotel,Chinese Restaurant,Noodle House,Sandwich Place,Pizza Place,Fast Food Restaurant,Dessert Shop,Restaurant,Clothing Store
203,"Chapel Hill, Brisbane",Supermarket,Bakery,Shopping Mall,Liquor Store,Portuguese Restaurant,Pub,Pharmacy,Noodle House,Restaurant,Food Truck
204,"Charleston, New York City US",Cosmetics Shop,Big Box Store,Japanese Restaurant,Sporting Goods Shop,Hardware Store,Toy / Game Store,Gym / Fitness Center,Grocery Store,Gift Shop,Music Venue
205,"Chatsworth, Los Angeles US",Mexican Restaurant,Hotel,Fast Food Restaurant,Creperie,Video Store,Supermarket,Rock Club,Vietnamese Restaurant,Thai Restaurant,Convenience Store
206,"Chawri Bazaar, New Delhi India",Paper / Office Supplies Store,Snack Place,Fast Food Restaurant,Hardware Store,Falafel Restaurant,Film Studio,Filipino Restaurant,Field,Farmers Market,Farm
207,"Chelmer, Brisbane",Soccer Field,Train Station,Café,Playground,Farm,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Farmers Market
208,"Chelsea, New York City US",Art Gallery,Coffee Shop,Ice Cream Shop,Italian Restaurant,Theater,Park,Hotel,Market,Sandwich Place,Seafood Restaurant
209,"Cheras, Kuala Lumpur Malaysia",Food Truck,Asian Restaurant,Café,Farmers Market,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Zoo Exhibit
210,"Chermside West, Brisbane",Bus Station,Tree,Zoo Exhibit,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Farmers Market
211,"Chermside, Brisbane",Fast Food Restaurant,Department Store,Café,Pet Store,Thai Restaurant,Australian Restaurant,Shopping Mall,Movie Theater,Grocery Store,Toy / Game Store
212,"Chesterfield Square, Los Angeles US",Hardware Store,Mediterranean Restaurant,Burger Joint,Clothing Store,Zoo Exhibit,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant
213,"Cheviot Hills, Los Angeles US",Gym,Tennis Court,Zoo Exhibit,Fish Market,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Farmers Market
214,"Chhatarpur, New Delhi India",Metro Station,Japanese Restaurant,Indian Restaurant,Flea Market,Public Art,Event Space,Exhibit,Eye Doctor,Fabric Shop,Factory
215,"Chinatown, Los Angeles US",Chinese Restaurant,Bakery,Coffee Shop,Vietnamese Restaurant,Bar,Cocktail Bar,Sandwich Place,Salon / Barbershop,Spa,American Restaurant
216,"Chinatown, New York City US",Chinese Restaurant,Bakery,Coffee Shop,Vietnamese Restaurant,Bar,Cocktail Bar,Sandwich Place,Salon / Barbershop,Spa,American Restaurant
217,"Chippendale, Sydney",Café,Coffee Shop,Bar,Thai Restaurant,Pub,Pool,Cocktail Bar,Bookstore,Japanese Restaurant,Italian Restaurant
218,"Chittaranjan Park, New Delhi India",Market,Indian Restaurant,Park,Bowling Alley,Zoo Exhibit,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant
219,"Chiyoda, Tokyo Japan",Café,Hotel,Japanese Curry Restaurant,Yoshoku Restaurant,Ramen Restaurant,Park,Italian Restaurant,Bookstore,Garden,French Restaurant
220,"Chongming District, Shanghai China",Bar,Park,Hotel,Pub,Zoo Exhibit,Farmers Market,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant
221,"Chongwenmen, Beijing China",Fast Food Restaurant,Coffee Shop,Hotel,Chinese Restaurant,Café,Restaurant,Department Store,Shopping Mall,Metro Station,Train Station
222,"Christchurch Airport, Christchurch New Zealand",Sandwich Place,Café,Airport,Airport Lounge,Bar,Italian Restaurant,Gift Shop,Coffee Shop,Airport Terminal,Auto Garage
223,"Christchurch Central, Christchurch New Zealand",Café,Coffee Shop,Sushi Restaurant,Chinese Restaurant,Asian Restaurant,Gastropub,Liquor Store,Pet Store,Stadium,Shoe Store
224,"Churchgate, Mumbai City India",Ice Cream Shop,Indian Restaurant,Hotel,Cricket Ground,Fast Food Restaurant,Train Station,Café,Movie Theater,Hockey Arena,Pizza Place
225,"Chūō, Tokyo Japan",Sushi Restaurant,Monjayaki Restaurant,Japanese Restaurant,Italian Restaurant,Ramen Restaurant,Soba Restaurant,Dessert Shop,BBQ Joint,Bakery,Seafood Restaurant
226,"City Island, New York City US",Harbor / Marina,Thrift / Vintage Store,Seafood Restaurant,Boat or Ferry,Baseball Field,Music Venue,Bus Station,Bar,Bank,Park
227,"City Line, New York City US",Donut Shop,Pharmacy,Flower Shop,Shoe Store,Grocery Store,Chinese Restaurant,Pizza Place,Coffee Shop,Bakery,Bank
228,"City of Westminster, London UK",Hotel,Plaza,Park,Art Gallery,Cocktail Bar,Theater,Café,Garden,Boutique,Art Museum
229,"Civic Center, Los Angeles US",Coffee Shop,Park,French Restaurant,Theater,Gym / Fitness Center,Spa,Café,Yoga Studio,Cocktail Bar,Hotel
230,"Civic Center, New York City US",Coffee Shop,Park,French Restaurant,Theater,Gym / Fitness Center,Spa,Café,Yoga Studio,Cocktail Bar,Hotel
231,"Civil Lines, New Delhi India",Asian Restaurant,Hotel,Indian Restaurant,Chinese Restaurant,Light Rail Station,Convenience Store,Financial or Legal Service,Film Studio,Filipino Restaurant,Field
232,"Claremont Village, New York City US",Chinese Restaurant,Bakery,Park,Bus Station,Grocery Store,Discount Store,Pizza Place,Gym,Caribbean Restaurant,Gift Shop
233,"Clason Point, New York City US",Park,Bus Stop,Pool,South American Restaurant,Boat or Ferry,Grocery Store,Field,Financial or Legal Service,Film Studio,Filipino Restaurant
234,"Clayfield, Brisbane",Sushi Restaurant,Japanese Restaurant,Gym,Burrito Place,Bus Station,Convenience Store,Laundromat,Café,Zoo Exhibit,Fast Food Restaurant
235,"Clifton, Christchurch New Zealand",Café,Coffee Shop,Restaurant,Indian Restaurant,Gastropub,Multiplex,Fish & Chips Shop,Beach,Bar,Asian Restaurant
236,"Clifton, New York City US",Grocery Store,Pizza Place,Train Station,Mexican Restaurant,Eastern European Restaurant,Electronics Store,Museum,Lawyer,Park,Cajun / Creole Restaurant
237,"Clinton Hill, New York City US",Pizza Place,Italian Restaurant,Chinese Restaurant,Mexican Restaurant,Wine Shop,Thai Restaurant,Japanese Restaurant,Indian Restaurant,Yoga Studio,Grocery Store
238,"Clinton, New York City US",Theater,Gym / Fitness Center,Coffee Shop,Hotel,Gym,Wine Shop,Spa,Pizza Place,Italian Restaurant,Sandwich Place
239,"Co-op City, New York City US",Bus Station,Restaurant,Discount Store,Baseball Field,Pharmacy,Chinese Restaurant,Bagel Shop,Mattress Store,Pizza Place,Park
240,"Cobble Hill, New York City US",Bar,Playground,Pizza Place,Coffee Shop,Cocktail Bar,Yoga Studio,Ice Cream Shop,Italian Restaurant,Deli / Bodega,Juice Bar
241,"College Point, New York City US",Asian Restaurant,Deli / Bodega,Bar,Latin American Restaurant,Supermarket,Dessert Shop,Chinese Restaurant,Pizza Place,Seafood Restaurant,Caribbean Restaurant
242,"Concord, New York City US",Train Station,Deli / Bodega,Athletics & Sports,Park,Gym / Fitness Center,Coffee Shop,Cosmetics Shop,Grocery Store,Italian Restaurant,Peruvian Restaurant
243,"Concourse Village, New York City US",Bus Station,Deli / Bodega,Sandwich Place,Mexican Restaurant,Sporting Goods Shop,Fast Food Restaurant,Pharmacy,Coffee Shop,Plaza,Lounge
244,"Concourse, New York City US",Grocery Store,Bakery,Spanish Restaurant,Pizza Place,Liquor Store,Art Museum,Playground,Ice Cream Shop,Donut Shop,Caribbean Restaurant
245,"Coney Island, New York City US",Baseball Stadium,Beach,Caribbean Restaurant,Music Venue,Monument / Landmark,Pizza Place,Vegetarian / Vegan Restaurant,Food Court,Theme Park Ride / Attraction,Skating Rink
246,"Connaught Place, New Delhi India",Indian Restaurant,Café,Bar,Chinese Restaurant,Coffee Shop,Lounge,Deli / Bodega,BBQ Joint,South Indian Restaurant,Clothing Store
247,"Coopers Plains, Brisbane",Bakery,Motorcycle Shop,Music Store,Fast Food Restaurant,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Farmers Market
248,"Coorparoo, Brisbane",Café,Supermarket,Fast Food Restaurant,Coffee Shop,Shopping Plaza,Portuguese Restaurant,Pie Shop,Burrito Place,Gym,Indie Movie Theater
249,"Corinda, Brisbane",Café,Bakery,Sandwich Place,Train Station,Pizza Place,Pool,Pharmacy,Food Stand,Food Service,Ethiopian Restaurant
250,"Corona, New York City US",Mexican Restaurant,Restaurant,Pizza Place,Sandwich Place,Latin American Restaurant,South American Restaurant,Bakery,Convenience Store,Deli / Bodega,Donut Shop
251,"Cotton Green, Mumbai City India",Bakery,Plaza,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Farmers Market,Zoo Exhibit
252,"Country Club, New York City US",Sandwich Place,Mexican Restaurant,Playground,BBQ Joint,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Farmers Market,Farm
253,"Cowan Cowan, Brisbane",Beach,Zoo Exhibit,Furniture / Home Store,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Farmers Market
254,"Cracroft, Christchurch New Zealand",Fast Food Restaurant,Garden Center,Breakfast Spot,Park,Zoo Exhibit,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant,Field
255,"Crenshaw, Los Angeles US",Pet Store,Airport Terminal,Frozen Yogurt Shop,Diner,Fast Food Restaurant,Gym / Fitness Center,Mobile Phone Shop,Mexican Restaurant,Hardware Store,Pharmacy
256,"Crown Heights, New York City US",Pizza Place,Deli / Bodega,Museum,Café,Pharmacy,Playground,Moving Target,Coffee Shop,Salon / Barbershop,Farmers Market
257,"Cuffe Parade, Mumbai City India",Spa,Italian Restaurant,Coffee Shop,Indian Restaurant,Bar,Ice Cream Shop,Thai Restaurant,Grocery Store,Gym,Chinese Restaurant
258,"Cumbala Hill, Mumbai City India",Bakery,Salon / Barbershop,Pizza Place,Café,Farmers Market,Brewery,Coffee Shop,Concert Hall,Sandwich Place,Food Court
259,"Currey Road, Mumbai City India",Indian Restaurant,Mediterranean Restaurant,Maharashtrian Restaurant,Coffee Shop,Plaza,Boutique,Zoo Exhibit,Farmers Market,Film Studio,Filipino Restaurant
260,"Cypress Hills, New York City US",Fried Chicken Joint,Spanish Restaurant,Fast Food Restaurant,Metro Station,Pizza Place,Donut Shop,Ice Cream Shop,Latin American Restaurant,Discount Store,Supermarket
261,"Cypress Park, Los Angeles US",Mexican Restaurant,Food & Drink Shop,Train Station,Home Service,Park,Discount Store,Bakery,Football Stadium,Fraternity House,Event Space
262,"Cầu Giấy, Hanoi Vietnam",Vietnamese Restaurant,Café,Coffee Shop,Japanese Restaurant,Fast Food Restaurant,Pizza Place,Korean Restaurant,Hotel,Shopping Mall,Fish & Chips Shop
263,"Dabri, New Delhi India",Movie Theater,Grocery Store,Department Store,Fast Food Restaurant,Fish Market,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant,Field
264,"Dallington, Christchurch New Zealand",Park,Athletics & Sports,Neighborhood,Department Store,Business Service,Zoo Exhibit,Field,Fish & Chips Shop,Financial or Legal Service,Film Studio
265,"Dariba Kalan, New Delhi India",Indian Restaurant,Snack Place,Market,Flea Market,Hotel,Museum,Dessert Shop,Paper / Office Supplies Store,Mosque,Fast Food Restaurant
266,"Darlinghurst, Sydney",Café,Italian Restaurant,Japanese Restaurant,Bakery,Australian Restaurant,Pizza Place,Sandwich Place,Cocktail Bar,Coffee Shop,Thai Restaurant
267,"Darlington, Sydney",Café,Bar,Coffee Shop,Pub,Thai Restaurant,Bakery,Italian Restaurant,Ramen Restaurant,Performing Arts Venue,Australian Restaurant
